Scenario,Model,MAE_sec,MAE_min,MAE_hour,RMSE_sec,RMSE_min,RMSE_hour,R2,R2_log,TrainTime,ElapsedSeconds
TF-IDF,Ridge,109473.79381622937,1824.5632302704894,30.409387171174824,270756.96513155464,4512.616085525911,75.21026809209852,0.19697032516366705,0.47399627748603523,0.0초,0.01809864044189453
TF-IDF,Random Forest,112033.9584936774,1867.2326415612902,31.120544026021502,270261.2742522193,4504.354570870321,75.07257618117202,0.19927885222380662,0.419248498560712,1.6초,1.5863892555236816
TF-IDF,XGBoost,109876.43345610664,1831.2738909351108,30.52123151558518,276770.586680008,4612.843111333466,76.88071852222444,0.16104593846725054,0.47050907327124347,1.1초,1.1195332050323485
TF-IDF,LightGBM,110216.52199014265,1836.942033169044,30.6157005528174,272549.5992617749,4542.493321029582,75.7082220171597,0.18547131561741734,0.46671404827254365,0.2초,0.15047025680541992
KoBERT,Ridge,130653.84466633684,2177.5640777722806,36.29273462953801,371016.98692728154,6183.616448788026,103.0602741464671,-0.5634696396703561,0.36884447749393934,0.1초,0.09390912055969239
KoBERT,Random Forest,114569.14649880935,1909.4857749801558,31.82476291633593,280191.11927628727,4669.851987938121,77.83086646563535,0.13987044710413232,0.39870393713448465,18.5초,18.450332641601562
KoBERT,XGBoost,110253.98512954796,1837.5664188257992,30.626106980429988,276569.14219252474,4609.485703208746,76.82476172014576,0.16233027343840217,0.46334044908322713,1.8초,1.7539696216583252
KoBERT,LightGBM,110706.67962583,1845.1113270971666,30.751855451619445,275337.17800124444,4588.952966687408,76.48254944479012,0.16980663150399555,0.4575906305754575,1.3초,1.2949281215667725
